Strain	Medium	Hour	Sample	Spores
B6	PDA	0h	1	112500
B6	PDA	0h	2	87500
B6	PDA	0h	3	100000
B6	PDA	72h	1	8250000
B6	PDA	72h	2	27625000
B6	PDA	72h	3	62500
B6	PDA	168h	1	11250000
B6	PDA	168h	2	33750000
B6	PDA	168h	3	14500000
MK1	PDA	0h	1	187500
MK1	PDA	0h	2	187500
MK1	PDA	0h	3	350000
MK1	PDA	72h	1	0
MK1	PDA	72h	2	0
MK1	PDA	72h	3	0
MK1	PDA	168h	1	0
MK1	PDA	168h	2	0
MK1	PDA	168h	3	0
P1	PDA	0h	1	162500
P1	PDA	0h	2	175000
P1	PDA	0h	3	175000
P1	PDA	72h	1	0
P1	PDA	72h	2	0
P1	PDA	72h	3	12500
P1	PDA	168h	1	0
P1	PDA	168h	2	0
P1	PDA	168h	3	0
T22	PDA	0h	1	75000
T22	PDA	0h	2	50000
T22	PDA	0h	3	112500
T22	PDA	72h	1	150000
T22	PDA	72h	2	300000
T22	PDA	72h	3	800000
T22	PDA	168h	1	13250000
T22	PDA	168h	2	47500000
T22	PDA	168h	3	18750000
B6	SEA	0h	1	100000
B6	SEA	0h	2	100000
B6	SEA	0h	3	100000
B6	SEA	72h	1	637500
B6	SEA	72h	2	962500
B6	SEA	72h	3	637500
B6	SEA	168h	1	1550000
B6	SEA	168h	2	1275000
B6	SEA	168h	3	1137500
MK1	SEA	0h	1	100000
MK1	SEA	0h	2	100000
MK1	SEA	0h	3	100000
MK1	SEA	72h	1	100000
MK1	SEA	72h	2	137500
MK1	SEA	72h	3	100000
MK1	SEA	168h	1	400000
MK1	SEA	168h	2	387500
MK1	SEA	168h	3	412500
P1	SEA	0h	1	100000
P1	SEA	0h	2	100000
P1	SEA	0h	3	100000
P1	SEA	72h	1	537500
P1	SEA	72h	2	250000
P1	SEA	72h	3	387500
P1	SEA	168h	1	1712500
P1	SEA	168h	2	1275000
P1	SEA	168h	3	1450000
T22	SEA	0h	1	100000
T22	SEA	0h	2	100000
T22	SEA	0h	3	100000
T22	SEA	72h	1	950000
T22	SEA	72h	2	787500
T22	SEA	72h	3	1575000
T22	SEA	168h	1	1862500
T22	SEA	168h	2	1825000
T22	SEA	168h	3	3237500
