Strain	Medium	Hour	Sample	ngDNA
.Control	Natural_soil	0h	1	0.00
.Control	Natural_soil	0h	2	0.01
.Control	Natural_soil	0h	3	0.00
.Control	Natural_soil	0h	4	0.02
.Control	Natural_soil	0h	5	1.15
.Control	Natural_soil	0h	6	0.08
.Control	Natural_soil	0h	7	0.00
.Control	Natural_soil	0h	8	0.00
.Control	Natural_soil	0h	9	0.00
.Control	Natural_soil	72h	1	8.21
.Control	Natural_soil	72h	2	0.01
.Control	Natural_soil	72h	3	0.00
.Control	Natural_soil	72h	4	109.08
.Control	Natural_soil	72h	5	0.06
.Control	Natural_soil	72h	6	0.04
.Control	Natural_soil	72h	7	0.14
.Control	Natural_soil	72h	8	6.40
.Control	Natural_soil	72h	9	1.71
.Control	Natural_soil	168h	1	150.43
.Control	Natural_soil	168h	2	0.05
.Control	Natural_soil	168h	3	0.12
.Control	Natural_soil	168h	4	102.37
.Control	Natural_soil	168h	5	161.33
.Control	Natural_soil	168h	6	7.26
.Control	Natural_soil	168h	7	4.89
.Control	Natural_soil	168h	8	8.97
.Control	Natural_soil	168h	9	13.91
B6	Natural_soil	0h	1	0.00
B6	Natural_soil	0h	2	0.05
B6	Natural_soil	0h	3	0.01
B6	Natural_soil	0h	4	0.86
B6	Natural_soil	0h	5	0.00
B6	Natural_soil	0h	6	0.00
B6	Natural_soil	0h	7	0.01
B6	Natural_soil	0h	8	0.00
B6	Natural_soil	0h	9	0.00
B6	Natural_soil	72h	1	0.16
B6	Natural_soil	72h	2	0.17
B6	Natural_soil	72h	3	10.21
B6	Natural_soil	72h	4	0.13
B6	Natural_soil	72h	5	10.13
B6	Natural_soil	72h	6	0.42
B6	Natural_soil	72h	7	18.24
B6	Natural_soil	72h	8	0.01
B6	Natural_soil	72h	9	0.08
B6	Natural_soil	168h	1	0.12
B6	Natural_soil	168h	2	0.61
B6	Natural_soil	168h	3	4.77
B6	Natural_soil	168h	4	206.24
B6	Natural_soil	168h	5	0.34
B6	Natural_soil	168h	6	774.48
B6	Natural_soil	168h	7	313.29
B6	Natural_soil	168h	8	1.13
B6	Natural_soil	168h	9	20.03
MK1	Natural_soil	0h	1	0.00
MK1	Natural_soil	0h	2	0.01
MK1	Natural_soil	0h	3	0.00
MK1	Natural_soil	0h	4	0.00
MK1	Natural_soil	0h	5	0.00
MK1	Natural_soil	0h	6	0.00
MK1	Natural_soil	0h	7	0.00
MK1	Natural_soil	0h	8	0.00
MK1	Natural_soil	0h	9	0.00
MK1	Natural_soil	72h	1	0.01
MK1	Natural_soil	72h	2	12.09
MK1	Natural_soil	72h	3	0.03
MK1	Natural_soil	72h	4	0.18
MK1	Natural_soil	72h	5	46.44
MK1	Natural_soil	72h	6	4.11
MK1	Natural_soil	72h	7	0.00
MK1	Natural_soil	72h	8	0.64
MK1	Natural_soil	72h	9	0.00
MK1	Natural_soil	168h	1	0.71
MK1	Natural_soil	168h	2	13.43
MK1	Natural_soil	168h	3	2027.42
MK1	Natural_soil	168h	4	0.24
MK1	Natural_soil	168h	5	0.77
MK1	Natural_soil	168h	6	0.97
MK1	Natural_soil	168h	7	8.59
MK1	Natural_soil	168h	8	369.78
MK1	Natural_soil	168h	9	0.40
P1	Natural_soil	0h	1	0.00
P1	Natural_soil	0h	2	0.00
P1	Natural_soil	0h	3	0.01
P1	Natural_soil	0h	4	0.00
P1	Natural_soil	0h	5	0.00
P1	Natural_soil	0h	6	0.01
P1	Natural_soil	0h	7	0.00
P1	Natural_soil	0h	8	0.00
P1	Natural_soil	0h	9	0.00
P1	Natural_soil	72h	1	169.90
P1	Natural_soil	72h	2	0.81
P1	Natural_soil	72h	3	0.52
P1	Natural_soil	72h	4	0.04
P1	Natural_soil	72h	5	5.07
P1	Natural_soil	72h	6	15.65
